time,price,ln_ratio
1691899200,1847.78,0.04276314964335993
1691895600,1848.67,0.048154311147071804
1691892000,1849.53,0.0465091133795919
1691888400,1850.04,0.0275707719129814
1691884800,1850.09,0.0027026077463663525
1691881200,1848.69,-0.07570064004113197
1691877600,1848.68,-0.0005409250359083014
1691874000,1847.94,-0.040036574486142194
1691870400,1846.4,-0.08337078282997708
1691866800,1846.24,-0.008665886742290164
1691863200,1847.95,0.09257781121879109
1691859600,1847.88,-0.0037880530223710217
1691856000,1850.86,0.16113598927162404
1691852400,1849.69,-0.06323384572484429
1691848800,1851.69,0.1080678122562064
1691845200,1850.53,-0.062665105691196
1691841600,1850.42,-0.0059444196777697
1691838000,1849.28,-0.06162662032487166
1691834400,1849.67,0.02108706532638156
1691830800,1849.16,-0.027576287811657857
1691827200,1847.03,-0.11525382817340442
1691823600,1849.2,0.11741694912439721
1691820000,1847.76,-0.07790184761665497
1691816400,1845.72,-0.11046493861845218
1691812800,1846.96,0.06715989723496854
1691809200,1846.57,-0.021118009137572915
1691805600,1846.86,0.015703560137652374
1691802000,1847.5,0.03464740882871697
1691798400,1851.1,0.1946683143282488
1691794800,1847.06,-0.21848711830384243
1691791200,1845.02,-0.11050682583258337
1691787600,1843.25,-0.09597996545150855
1691784000,1843.91,0.03579991142500236
1691780400,1841.78,-0.1155821698041149
1691776800,1842.69,0.04939652207798838
1691773200,1840.51,-0.11837533962665538
1691769600,1842.4,0.10263623959932164
1691766000,1843.56,0.06294154240933549
1691762400,1851.51,0.4303037434708028
1691758800,1850.3,-0.06537342776064267
1691755200,1847.16,-0.16984636776869813
1691751600,1849.23,0.11200118041595007
1691748000,1846.14,-0.16723633737220803
1691744400,1844.21,-0.10459713447020745
1691740800,1846.35,0.11597157286958033
1691737200,1846.73,0.020579028959093602
1691733600,1848.04,0.07091104750189627
1691730000,1847.51,-0.028683146142450433
1691726400,1845.94,-0.08501537015858415
1691722800,1844.53,-0.0764130351206038
1691719200,1842.35,-0.11825718515691486
1691715600,1849.52,0.38842153242432853
1691712000,1852.43,0.15721447341929104
1691708400,1850.51,-0.1037013925185764
1691704800,1849.7,-0.043781299598587176
1691701200,1848.84,-0.04650483788194595
1691697600,1848.38,-0.024883561290561233
1691694000,1847.69,-0.03733695563210718
1691690400,1848.12,0.023269594591722467
1691686800,1846.09,-0.10990172211790993
1691683200,1849.54,0.18670705683260508
1691679600,1851.85,0.12481798999327373
1691676000,1851.15,-0.037807183815171494
1691672400,1862,0.5844111269710123
1691668800,1854.82,-0.3863522544112268
1691665200,1848.95,-0.3169745915538995
1691661600,1852.29,0.180480104322707
1691658000,1850.27,-0.10911370513451547
1691654400,1850.01,-0.014052990607626515
1691650800,1848.59,-0.07678581462013814
1691647200,1848.65,0.0032456643336849864
1691643600,1851.98,0.17996940514422527
1691640000,1850.71,-0.06859877817494915
1691636400,1851.63,0.04969829993657926
1691632800,1852.63,0.053991891729674855
1691629200,1854.26,0.08794434715118775
1691625600,1855.93,0.09002234994870574
1691622000,1853.98,-0.10512385365570062
1691618400,1854.12,0.007551036922757886
1691614800,1852.25,-0.1009073653560712
1691611200,1851.15,-0.05940487294639871
1691607600,1847.2,-0.21360885270166502
1691604000,1851.62,0.23899525274940406
1691600400,1848.18,-0.18595605120726616
1691596800,1848.05,-0.007034194303586833
1691593200,1851.85,0.2054110292782745
1691589600,1852.92,0.05776337153193137
1691586000,1859.7,0.3652411255210234
1691582400,1868.56,0.47528963532376894
1691578800,1861.5,-0.3785466416449675
1691575200,1862.97,0.07893740995799096
1691571600,1858.45,-0.24291814536819187
1691568000,1861.34,0.15538514709060475
1691564400,1860.71,-0.033852312892965496
1691560800,1856.71,-0.2152031002009884
1691557200,1856.42,-0.015620244946427752
1691553600,1856.25,-0.009157829816217213
1691550000,1854.28,-0.10618430170889837
1691546400,1853.08,-0.06473609479024199
1691542800,1858.3,0.2812971693586673
1691539200,1854.48,-0.20577579861669015
1691535600,1855.53,0.05660362252579914
1691532000,1856.76,0.06626637708855398
1691528400,1861.66,0.2635529518607227
1691524800,1862.63,0.052090466743111706
1691521200,1858.28,-0.233813877881956
1691517600,1857.85,-0.023142355187745246
1691514000,1852.05,-0.31267714630604887
1691510400,1852.5,0.024294448837954025
1691506800,1842.01,-0.5678711488075773
1691503200,1837.61,-0.23915524413707606
1691499600,1834.32,-0.17919736380571422
1691496000,1842.86,0.464487207810686
1691492400,1835.92,-0.37729944344888516
1691488800,1831.93,-0.21756623492731791
1691485200,1828.7,-0.17647240164958336
1691481600,1828.04,-0.036097726782156954
1691478000,1827.91,-0.007111694637761193
1691474400,1831.08,0.17327190252563657
1691470800,1832.59,0.08243100964344785
1691467200,1831.1,-0.08133876404109346
1691463600,1827.48,-0.19789104960681864
1691460000,1826.71,-0.04214340312881159
